distance, 6, 2, 32, ball_tree
uniform, 3, 3, 45, brute
uniform, 6, 1, 29, ball_tree
distance, 3, 3, 29, kd_tree
distance, 4, 4, 35, brute
distance, 9, 1, 16, ball_tree
uniform, 3, 3, 20, brute
distance, 7, 2, 12, brute
distance, 3, 3, 13, ball_tree
uniform, 5, 1, 47, brute
distance, 3, 4, 37, kd_tree
distance, 5, 1, 16, brute
uniform, 5, 1, 28, kd_tree
uniform, 9, 1, 36, brute
uniform, 9, 1, 18, ball_tree
uniform, 7, 1, 3, kd_tree
distance, 3, 2, 35, brute
distance, 5, 1, 4, brute
distance, 7, 2, 6, ball_tree
distance, 6, 2, 10, kd_tree
distance, 8, 2, 11, ball_tree
uniform, 5, 1, 43, kd_tree
distance, 4, 4, 22, kd_tree
distance, 4, 1, 14, ball_tree
distance, 6, 2, 19, kd_tree
uniform, 8, 1, 34, ball_tree
distance, 4, 2, 13, kd_tree
uniform, 7, 1, 8, ball_tree
distance, 4, 3, 9, ball_tree
distance, 6, 2, 6, ball_tree
distance, 7, 1, 5, ball_tree
distance, 8, 1, 37, brute
distance, 7, 2, 17, brute
distance, 6, 1, 12, kd_tree
distance, 5, 2, 9, ball_tree
distance, 4, 4, 4, brute
distance, 9, 2, 30, kd_tree
uniform, 7, 1, 41, kd_tree
uniform, 3, 1, 18, kd_tree
distance, 3, 2, 13, kd_tree
distance, 4, 3, 34, kd_tree
distance, 3, 4, 15, kd_tree
distance, 8, 1, 13, brute
distance, 3, 1, 42, brute
distance, 3, 4, 38, ball_tree
distance, 3, 1, 4, kd_tree
distance, 9, 1, 25, brute
distance, 4, 1, 42, kd_tree
uniform, 9, 1, 47, kd_tree
uniform, 3, 1, 2, ball_tree
uniform, 4, 1, 46, ball_tree
distance, 4, 2, 41, ball_tree
uniform, 3, 1, 43, kd_tree
distance, 6, 2, 17, ball_tree
distance, 4, 3, 17, kd_tree
distance, 3, 1, 9, kd_tree
uniform, 8, 1, 6, brute
uniform, 4, 1, 30, kd_tree
distance, 4, 1, 34, ball_tree
distance, 4, 2, 42, brute
uniform, 6, 1, 7, ball_tree
distance, 4, 2, 5, kd_tree
distance, 3, 4, 20, kd_tree
distance, 3, 2, 21, kd_tree
distance, 3, 2, 43, ball_tree
distance, 4, 1, 18, kd_tree
uniform, 5, 1, 19, kd_tree
uniform, 4, 1, 39, brute
distance, 3, 3, 15, ball_tree
distance, 6, 2, 47, kd_tree
distance, 3, 4, 7, brute
uniform, 3, 3, 2, brute
uniform, 3, 1, 38, kd_tree
uniform, 6, 1, 7, brute
uniform, 7, 1, 26, kd_tree
distance, 8, 2, 44, ball_tree
uniform, 3, 1, 31, ball_tree
uniform, 4, 1, 2, brute
distance, 3, 2, 3, ball_tree
uniform, 4, 3, 41, brute
uniform, 8, 1, 24, brute
uniform, 5, 1, 43, brute
distance, 3, 1, 20, ball_tree
distance, 3, 2, 6, kd_tree
uniform, 9, 1, 19, ball_tree
uniform, 8, 1, 9, kd_tree
uniform, 4, 1, 21, brute
distance, 6, 2, 11, ball_tree
uniform, 8, 1, 44, ball_tree
distance, 7, 1, 13, brute
distance, 6, 2, 18, brute
distance, 3, 2, 17, kd_tree
distance, 4, 1, 34, kd_tree
distance, 4, 1, 40, kd_tree
distance, 5, 1, 5, kd_tree
distance, 6, 1, 21, kd_tree
distance, 7, 1, 44, ball_tree
distance, 4, 3, 24, ball_tree
uniform, 4, 3, 15, ball_tree
distance, 3, 1, 15, ball_tree
distance, 4, 1, 27, brute
distance, 5, 2, 20, ball_tree
distance, 9, 2, 48, brute
distance, 3, 3, 6, ball_tree
distance, 8, 2, 5, brute
distance, 4, 1, 18, brute
distance, 8, 1, 39, kd_tree
distance, 5, 2, 45, kd_tree
distance, 4, 3, 2, ball_tree
uniform, 4, 1, 34, kd_tree
distance, 5, 1, 39, ball_tree
distance, 6, 1, 11, kd_tree
uniform, 7, 1, 21, brute
uniform, 4, 1, 34, ball_tree
distance, 4, 1, 17, kd_tree
distance, 6, 2, 17, brute
uniform, 7, 1, 33, ball_tree
distance, 6, 2, 37, brute
uniform, 3, 3, 43, brute
uniform, 5, 1, 2, kd_tree
distance, 5, 1, 3, ball_tree
uniform, 5, 1, 10, brute
distance, 3, 4, 30, kd_tree
distance, 5, 2, 40, brute
distance, 8, 1, 29, ball_tree
uniform, 3, 3, 10, kd_tree
distance, 9, 2, 13, brute
distance, 6, 2, 20, brute
distance, 8, 2, 35, brute
distance, 9, 2, 36, brute
uniform, 8, 1, 21, ball_tree
uniform, 8, 1, 18, kd_tree
uniform, 3, 3, 7, brute
uniform, 3, 1, 24, kd_tree
uniform, 4, 1, 42, kd_tree
uniform, 7, 1, 32, kd_tree
uniform, 5, 1, 21, kd_tree
distance, 3, 3, 24, kd_tree
uniform, 5, 1, 40, ball_tree
distance, 4, 3, 16, brute
distance, 5, 2, 23, kd_tree
uniform, 3, 1, 15, kd_tree
distance, 7, 1, 20, ball_tree
uniform, 5, 1, 3, ball_tree
uniform, 7, 1, 42, brute
distance, 3, 3, 39, kd_tree
uniform, 3, 3, 39, kd_tree
distance, 7, 1, 24, kd_tree
distance, 8, 2, 27, brute
distance, 3, 2, 38, kd_tree
distance, 4, 1, 47, ball_tree
distance, 3, 4, 47, kd_tree
distance, 9, 1, 21, kd_tree
distance, 4, 2, 42, ball_tree
distance, 4, 1, 43, brute
distance, 4, 2, 17, brute
distance, 5, 1, 48, brute
distance, 9, 2, 35, ball_tree
uniform, 6, 1, 26, ball_tree
uniform, 9, 1, 30, brute
distance, 4, 2, 14, kd_tree
distance, 3, 4, 25, kd_tree
distance, 3, 4, 21, kd_tree
uniform, 7, 1, 31, brute
distance, 9, 2, 37, ball_tree
uniform, 4, 1, 22, kd_tree
uniform, 3, 3, 14, ball_tree
uniform, 3, 1, 23, ball_tree
distance, 5, 2, 46, kd_tree
uniform, 4, 1, 48, brute
uniform, 3, 1, 14, ball_tree
distance, 6, 2, 43, brute
uniform, 4, 1, 10, ball_tree
uniform, 8, 1, 30, kd_tree
uniform, 5, 1, 22, ball_tree
distance, 3, 2, 7, kd_tree
distance, 8, 1, 1, ball_tree
distance, 6, 2, 3, ball_tree
distance, 3, 3, 31, brute
uniform, 4, 3, 36, brute
uniform, 4, 3, 6, ball_tree
uniform, 3, 1, 1, ball_tree
distance, 8, 1, 7, ball_tree
uniform, 6, 1, 21, kd_tree
distance, 8, 2, 45, brute
distance, 3, 1, 14, ball_tree
uniform, 6, 1, 4, kd_tree
uniform, 3, 3, 22, ball_tree
distance, 8, 1, 19, brute
distance, 7, 2, 3, brute
distance, 7, 1, 12, brute
uniform, 3, 3, 3, kd_tree
distance, 8, 2, 47, ball_tree
uniform, 9, 1, 6, kd_tree
uniform, 9, 1, 21, brute
distance, 5, 2, 24, kd_tree
distance, 3, 1, 12, brute
distance, 3, 2, 22, ball_tree
uniform, 3, 3, 48, ball_tree
uniform, 7, 1, 5, kd_tree
uniform, 4, 1, 44, ball_tree
distance, 6, 1, 44, brute
distance, 4, 3, 35, brute
distance, 3, 1, 29, kd_tree
distance, 8, 2, 36, ball_tree
uniform, 3, 3, 27, brute
distance, 6, 1, 1, ball_tree
uniform, 3, 1, 23, brute
distance, 4, 2, 11, kd_tree
uniform, 4, 3, 45, brute
distance, 8, 1, 17, brute
distance, 3, 3, 7, brute
distance, 3, 1, 22, ball_tree
uniform, 7, 1, 19, ball_tree
distance, 3, 3, 23, ball_tree
distance, 4, 3, 13, brute
distance, 3, 3, 34, brute
distance, 3, 4, 34, ball_tree
distance, 4, 4, 49, kd_tree
uniform, 5, 1, 18, brute
distance, 5, 2, 17, brute
uniform, 6, 1, 20, kd_tree
uniform, 8, 1, 7, kd_tree
distance, 9, 2, 48, ball_tree
distance, 9, 2, 42, kd_tree
uniform, 4, 1, 43, kd_tree
distance, 4, 1, 49, kd_tree
distance, 4, 2, 33, brute
distance, 6, 1, 7, kd_tree
distance, 8, 2, 30, kd_tree
distance, 6, 1, 35, ball_tree
distance, 3, 2, 14, brute
distance, 8, 1, 5, brute
uniform, 4, 1, 45, kd_tree
distance, 3, 3, 43, kd_tree
uniform, 9, 1, 27, ball_tree
uniform, 6, 1, 6, brute
uniform, 5, 1, 29, ball_tree
distance, 4, 2, 34, brute
uniform, 6, 1, 17, kd_tree
distance, 3, 4, 35, kd_tree
distance, 8, 2, 8, brute
distance, 9, 1, 19, brute
distance, 8, 1, 15, brute
distance, 6, 2, 31, brute
uniform, 4, 3, 39, ball_tree
uniform, 5, 1, 13, brute
distance, 7, 1, 26, ball_tree
distance, 4, 1, 2, brute
distance, 9, 2, 42, brute
uniform, 4, 1, 15, ball_tree
uniform, 4, 3, 1, kd_tree
uniform, 4, 3, 18, kd_tree
distance, 6, 1, 31, kd_tree
